date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
04/Nov/2022,19:45,Exeter,19,Northampton,26,Franklin's Gardens,away,Craig Maxwell-Keys,45,L,N,19,Fri,Nov,2022,2022-23,1,0,3,2,0,0,2,2,4,0
05/Nov/2022,13:00,Sale,27,Gloucester,17,AJ Bell Stadium,home,Andrew Jackson,44,W,N,13,Sat,Nov,2022,2022-23,0,0,3,3,2,0,3,1,0,0
05/Nov/2022,13:00,Gloucester,17,Sale,27,AJ Bell Stadium,away,Andrew Jackson,44,L,N,13,Sat,Nov,2022,2022-23,0,0,3,1,0,0,3,3,2,0
05/Nov/2022,15:00,Newcastle,10,Bath,17,Kingston Park,home,Hamish Smales,27,L,N,15,Sat,Nov,2022,2022-23,1,0,1,1,1,0,2,2,1,0
05/Nov/2022,15:00,Bath,17,Newcastle,10,Kingston Park,away,Hamish Smales,27,W,N,15,Sat,Nov,2022,2022-23,0,1,2,2,1,0,1,1,1,0
05/Nov/2022,17:00,Bristol,10,Saracens,25,Ashton Gate,home,Jack Makepeace,35,L,N,17,Sat,Nov,2022,2022-23,0,0,2,0,0,0,1,1,6,0
05/Nov/2022,17:00,Saracens,25,Bristol,10,Ashton Gate,away,Jack Makepeace,35,W,N,17,Sat,Nov,2022,2022-23,0,0,1,1,6,0,2,0,0,0
11/Nov/2022,19:45,Bath,19,Leicester,18,Recreation Ground,home,Tom Foley,37,W,N,19,Fri,Nov,2022,2022-23,0,1,2,0,3,0,2,1,2,0
11/Nov/2022,19:45,Leicester,18,Bath,19,Recreation Ground,away,Tom Foley,37,L,N,19,Fri,Nov,2022,2022-23,1,0,2,1,2,0,2,0,3,0
12/Nov/2022,15:00,Gloucester,21,Newcastle,27,Kingsholm,home,Anthony Woodthorpe,48,L,N,15,Sat,Nov,2022,2022-23,1,0,3,2,0,0,3,3,2,0
12/Nov/2022,15:00,Newcastle,27,Gloucester,21,Kingsholm,away,Anthony Woodthorpe,48,W,N,15,Sat,Nov,2022,2022-23,0,1,3,3,2,0,3,2,0,0
12/Nov/2022,17:00,Exeter,22,London Irish,17,Sandy Park,home,Hamish Smales,39,W,N,17,Sat,Nov,2022,2022-23,0,1,3,2,1,0,2,2,1,0
12/Nov/2022,17:00,London Irish,17,Exeter,22,Sandy Park,away,Hamish Smales,39,L,N,17,Sat,Nov,2022,2022-23,1,0,2,2,1,0,3,2,1,0
