,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,extraTime,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason
40,22/Oct/2010,19:45,Leeds Carnegie,3,Sale Sharks,6,Headingley,N/A,9,A,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,12.73,20.42,18.05,18.07,19.99,45.42,41.8,41.53,5.5,10.25,12.73,19.44,16.83,17.82
41,02/Oct/2010,15:00,London Irish,40,Leeds Carnegie,24,Madejski Stadium,N/A,64,H,N,Oct,2010,2010-11,25.53,20.8,46.33,24.99,23.75,23.46,24.29,20.42,18.05,18.07,15.91,45.42,41.8,41.53,25.24,29.8,26.82,24.0,15.6,15.91
42,27/Nov/2010,15:00,Leicester Tigers,44,Newcastle Falcons,19,Welford Road,N/A,63,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,26.91,18.47,18.05,18.07,17.24,41.2,41.8,41.53,25.44,37.0,29.69,13.77,15.8,14.64
43,19/Nov/2010,19:45,Leicester Tigers,18,Harlequins,13,Welford Road,N/A,31,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,26.91,18.47,18.05,18.07,22.21,41.2,41.8,41.53,25.44,37.0,29.69,20.0,19.8,18.27
44,21/Nov/2010,16:15,Bath,13,Saracens,17,Recreation Ground,N/A,30,A,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,24.21,18.47,18.05,18.07,24.17,41.2,41.8,41.53,19.0,14.6,20.0,18.0,17.4,20.83
45,27/Nov/2010,16:30,Gloucester,19,Saracens,13,Kingsholm,N/A,32,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,26.32,18.47,18.05,18.07,24.17,41.2,41.8,41.53,24.33,23.0,30.73,18.0,17.4,20.83
46,21/Nov/2010,15:00,Newcastle Falcons,12,Gloucester,6,Kingston Park,N/A,18,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,18.92,18.47,18.05,18.07,20.71,41.2,41.8,41.53,14.92,16.5,18.09,16.12,12.5,16.67
47,27/Nov/2010,17:30,Bath,6,Wasps,11,Recreation Ground,Dean Richards,17,A,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,24.21,18.47,18.05,18.07,22.14,41.2,41.8,41.53,19.0,14.6,20.0,18.67,16.0,12.82
48,21/Nov/2010,14:45,Wasps,33,London Irish,25,Adams Park,N/A,58,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,27.76,18.47,18.05,18.07,18.11,41.2,41.8,41.53,28.23,26.6,25.82,18.92,22.83,20.73
49,27/Nov/2010,15:00,Northampton Saints,35,London Irish,23,Franklin’s Gardens,N/A,58,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,27.63,18.47,18.05,18.07,18.11,41.2,41.8,41.53,25.23,30.8,29.18,18.92,22.83,20.73
50,19/Nov/2010,19:45,Sale Sharks,10,Northampton Saints,19,Edgeley Park,N/A,29,A,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,24.15,18.47,18.05,18.07,22.09,41.2,41.8,41.53,22.0,22.5,21.45,22.17,23.25,17.92
51,27/Nov/2010,15:00,Exeter Chiefs,24,Sale Sharks,19,Sandy Park,N/A,43,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,27.71,18.47,18.05,18.07,19.99,41.2,41.8,41.53,26.18,18.4,18.09,16.07,16.83,17.82
52,20/Nov/2010,15:00,Exeter Chiefs,15,Leeds Carnegie,9,Sandy Park,N/A,24,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,27.71,18.47,18.05,18.07,15.91,41.2,41.8,41.53,26.18,18.4,18.09,13.5,15.6,15.91
53,28/Nov/2010,15:00,Harlequins,51,Leeds Carnegie,18,Twickenham Stoop,N/A,69,H,N,Nov,2010,2010-11,25.53,20.8,46.33,22.73,23.75,23.46,26.66,18.47,18.05,18.07,15.91,41.2,41.8,41.53,22.93,27.33,25.55,13.5,15.6,15.91
54,05/Dec/2010,15:00,Saracens,26,Harlequins,14,Vicarage Road,N/A,40,H,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,31.18,19.75,18.05,18.07,22.21,43.78,41.8,41.53,35.0,21.0,22.33,20.31,19.8,18.27
55,04/Dec/2010,15:00,London Irish,14,Leicester Tigers,23,Madejski Stadium,N/A,37,A,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,24.29,19.75,18.05,18.07,21.65,43.78,41.8,41.53,21.82,29.8,26.82,21.8,20.8,21.55
56,26/Dec/2010,15:00,Saracens,13,Wasps,6,Wembley Stadium,N/A,19,H,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,31.18,19.75,18.05,18.07,22.14,43.78,41.8,41.53,35.0,21.0,22.33,22.36,16.0,12.82
57,27/Dec/2010,16:15,Harlequins,28,London Irish,18,Twickenham,N/A,46,H,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,26.66,19.75,18.05,18.07,18.11,43.78,41.8,41.53,27.19,27.33,25.55,13.75,22.83,20.73
58,05/Dec/2010,14:45,Wasps,24,Exeter Chiefs,12,Adams Park,N/A,36,H,N,Dec,2010,2010-11,25.53,20.8,46.33,24.03,23.75,23.46,27.76,19.75,18.05,18.07,24.01,43.78,41.8,41.53,27.36,26.6,25.82,22.23,19.2,20.82
