,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
230,2015-04-25,14:00,Sale,23,1,Harlequins,25,1,AJ Bell Stadium,Wayne Barnes,48,A,14,Sat,Apr,2015,2014-15,3,1,2,0,4,1,1,0,14.2,16.2,0.2,0.2,1.6,1.0,1.4,0.0,1.4,1.0,2.4,0.0,9,3,0,0,1,11,0,0
237,2015-04-25,15:15,Saracens,20,1,Northampton,25,0,Stadium mk,Greg Garner,45,H,15,Sat,Apr,2015,2014-15,2,2,2,0,1,1,6,0,24.4,13.6,0.4,0.2,2.4,2.0,2.8,0.0,1.6,1.0,1.2,0.0,10,8,0,11,1,3,0,1
231,2015-04-25,14:00,Harlequins,25,1,Sale,23,1,AJ Bell Stadium,Wayne Barnes,48,A,14,Sat,Apr,2015,2014-15,4,1,1,0,3,1,2,0,20.6,27.4,0.2,0.6,1.8,1.0,3.2,0.0,3.0,2.0,2.8,0.0,3,9,0,0,1,11,0,0
232,2015-04-25,15:00,Gloucester,42,1,Newcastle,40,2,Kingsholm,Ian Tempest,82,H,15,Sat,Apr,2015,2014-15,5,4,3,0,4,4,4,0,26.8,25.4,0.4,0.2,2.8,2.2,2.8,0.0,2.8,1.8,2.6,0.0,2,7,0,4,1,5,0,1
236,2015-04-25,15:15,Northampton,25,0,Saracens,20,1,Stadium mk,Greg Garner,45,H,15,Sat,Apr,2015,2014-15,1,1,6,0,2,2,2,0,26.6,22.0,0.2,0.2,3.4,1.8,2.0,0.0,2.0,1.8,2.8,0.0,8,10,0,11,1,3,0,1
233,2015-04-25,15:00,Newcastle,40,2,Gloucester,42,1,Kingsholm,Ian Tempest,82,H,15,Sat,Apr,2015,2014-15,4,4,4,0,5,4,3,0,18.4,22.4,0.6,0.2,2.2,1.0,1.8,0.0,2.4,1.6,2.4,0.0,7,2,0,4,1,5,0,1
239,2015-04-26,14:00,Exeter,29,1,Wasps,36,0,Ricoh Arena,Matthew Carley,65,H,14,Sun,Apr,2015,2014-15,2,2,4,1,3,3,5,0,32.2,16.2,0.4,0.0,3.4,2.8,3.2,0.0,1.6,0.8,2.2,0.0,1,11,0,8,2,8,0,1
238,2015-04-26,14:00,Wasps,36,0,Exeter,29,1,Ricoh Arena,Matthew Carley,65,H,14,Sun,Apr,2015,2014-15,3,3,5,0,2,2,4,1,28.4,27.0,0.4,0.2,3.8,2.6,1.4,0.0,3.2,1.6,2.6,0.0,11,1,0,8,2,8,0,1
241,2015-05-08,19:45,Bath,27,0,Harlequins,26,1,Twickenham Stoop,Greg Garner,53,A,19,Fri,May,2015,2014-15,3,3,2,0,3,1,3,0,23.8,14.0,0.6,0.0,2.8,1.6,2.2,0.0,1.2,1.0,2.0,0.0,0,3,5,14,0,3,0,0
240,2015-05-08,19:45,Harlequins,26,1,Bath,27,0,Twickenham Stoop,Greg Garner,53,A,19,Fri,May,2015,2014-15,3,1,3,0,3,3,2,0,21.4,25.6,0.4,0.8,2.2,1.0,2.8,0.0,3.2,1.8,2.0,0.0,3,0,5,14,0,3,0,0
249,2015-05-09,15:15,Leicester,26,0,Wasps,21,1,Ricoh Arena,Wayne Barnes,47,A,15,Sat,May,2015,2014-15,3,1,3,0,0,0,7,0,22.6,15.4,0.2,0.4,2.2,1.6,2.8,0.0,2.0,1.2,1.0,0.0,4,11,5,8,1,11,0,0
245,2015-05-09,15:00,London Irish,13,0,Gloucester,35,0,Kingsholm,Craig Maxwell-Keys,48,H,15,Sat,May,2015,2014-15,2,0,1,0,3,1,6,0,27.0,25.0,0.4,0.6,3.6,2.4,1.4,0.0,2.8,1.6,2.6,0.0,5,2,5,4,1,1,0,1
243,2015-05-09,14:00,Newcastle,28,1,Sale,34,1,AJ Bell Stadium,Matthew Carley,62,H,14,Sat,May,2015,2014-15,3,2,3,0,5,3,1,0,21.8,26.2,1.0,0.4,2.4,1.6,2.2,0.0,2.8,2.2,2.6,0.0,7,9,5,0,1,8,0,1
244,2015-05-09,15:00,Gloucester,35,0,London Irish,13,0,Kingsholm,Craig Maxwell-Keys,48,H,15,Sat,May,2015,2014-15,3,1,6,0,2,0,1,0,25.6,31.4,0.4,0.6,2.6,1.8,3.0,0.0,3.4,2.4,3.2,0.0,2,5,5,4,1,1,0,1
