date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
15/Feb/2015,14:00,Wasps,37,1,Harlequins,6,0,Ricoh Arena,Greg Garner,43,H,N,14,Sun,Feb,2015,2014-15
15/Feb/2015,14:00,Harlequins,6,0,Wasps,37,1,Ricoh Arena,Greg Garner,43,H,N,14,Sun,Feb,2015,2014-15
20/Feb/2015,19:45,Newcastle,23,0,Wasps,23,0,Kingston Park,JP Doyle,46,D,N,19,Fri,Feb,2015,2014-15
20/Feb/2015,19:45,Wasps,23,0,Newcastle,23,0,Kingston Park,JP Doyle,46,D,N,19,Fri,Feb,2015,2014-15
21/Feb/2015,14:00,Sale,14,0,Saracens,10,1,AJ Bell Stadium,Dean Richards,24,H,N,14,Sat,Feb,2015,2014-15
21/Feb/2015,14:00,Saracens,10,1,Sale,14,0,AJ Bell Stadium,Dean Richards,24,H,N,14,Sat,Feb,2015,2014-15
21/Feb/2015,15:00,Gloucester,48,1,London Welsh,10,0,Kingsholm,Ian Tempest,58,H,N,15,Sat,Feb,2015,2014-15
21/Feb/2015,15:00,London Welsh,10,0,Gloucester,48,1,Kingsholm,Ian Tempest,58,H,N,15,Sat,Feb,2015,2014-15
21/Feb/2015,15:00,Harlequins,21,0,Exeter,32,0,Twickenham Stoop,Matthew Carley,53,A,N,15,Sat,Feb,2015,2014-15
21/Feb/2015,15:00,Exeter,32,0,Harlequins,21,0,Twickenham Stoop,Matthew Carley,53,A,N,15,Sat,Feb,2015,2014-15
21/Feb/2015,15:15,Bath,13,0,Northampton,21,0,The Recreation Ground,Greg Garner,34,A,N,15,Sat,Feb,2015,2014-15
21/Feb/2015,15:15,Northampton,21,0,Bath,13,0,The Recreation Ground,Greg Garner,34,A,N,15,Sat,Feb,2015,2014-15
22/Feb/2015,14:00,London Irish,6,1,Leicester,12,0,Madejski Stadium,Wayne Barnes,18,A,N,14,Sun,Feb,2015,2014-15
22/Feb/2015,14:00,Leicester,12,0,London Irish,6,1,Madejski Stadium,Wayne Barnes,18,A,N,14,Sun,Feb,2015,2014-15
27/Feb/2015,19:45,Northampton,17,0,Harlequins,13,1,Franklin's Gardens,Tim Wigglesworth,30,H,N,19,Fri,Feb,2015,2014-15
27/Feb/2015,19:45,Harlequins,13,1,Northampton,17,0,Franklin's Gardens,Tim Wigglesworth,30,H,N,19,Fri,Feb,2015,2014-15
28/Feb/2015,14:30,London Welsh,12,0,London Irish,50,1,Kassam Stadium,Matthew Carley,62,A,N,14,Sat,Feb,2015,2014-15
28/Feb/2015,14:30,London Irish,50,1,London Welsh,12,0,Kassam Stadium,Matthew Carley,62,A,N,14,Sat,Feb,2015,2014-15
28/Feb/2015,15:00,Leicester,28,0,Sale,8,0,Welford Road,Greg Garner,36,H,N,15,Sat,Feb,2015,2014-15
28/Feb/2015,15:00,Sale,8,0,Leicester,28,0,Welford Road,Greg Garner,36,H,N,15,Sat,Feb,2015,2014-15
28/Feb/2015,15:00,Saracens,22,0,Newcastle,17,1,Allianz Park,Andrew Small,39,H,N,15,Sat,Feb,2015,2014-15
28/Feb/2015,15:00,Newcastle,17,1,Saracens,22,0,Allianz Park,Andrew Small,39,H,N,15,Sat,Feb,2015,2014-15
28/Feb/2015,15:15,Exeter,16,0,Bath,6,0,Sandy Park,Dean Richards,22,H,N,15,Sat,Feb,2015,2014-15
28/Feb/2015,15:15,Bath,6,0,Exeter,16,0,Sandy Park,Dean Richards,22,H,N,15,Sat,Feb,2015,2014-15
